time,mbps,code
2026-06-13T14:01:48+03:00,42.0678,200
2026-06-13T14:02:40+03:00,42.0678,200
2026-06-13T14:03:28+03:00,42.0678,200
2026-06-13T14:04:14+03:00,42.0678,200
2026-06-13T14:04:58+03:00,42.0678,200
2026-06-13T14:05:46+03:00,42.0678,200
2026-06-13T14:06:32+03:00,42.0678,200
2026-06-13T14:07:20+03:00,5.4837,200
2026-06-13T14:08:06+03:00,5.4837,200
2026-06-13T14:08:51+03:00,5.4837,200
2026-06-13T14:09:36+03:00,5.4837,200
2026-06-13T14:10:21+03:00,5.4837,200
2026-06-13T14:11:04+03:00,5.4837,200
2026-06-13T14:11:46+03:00,5.4837,200
2026-06-13T14:12:31+03:00,23.8572,200
2026-06-13T14:13:17+03:00,23.8572,200
2026-06-13T14:14:01+03:00,23.8572,200
2026-06-13T14:14:45+03:00,23.8572,200
2026-06-13T14:15:29+03:00,23.8572,200
2026-06-13T14:16:14+03:00,23.8572,200
2026-06-13T14:16:57+03:00,23.8572,200
2026-06-13T14:17:41+03:00,23.8572,200
2026-06-13T14:18:25+03:00,15.7796,200
2026-06-13T14:19:09+03:00,15.7796,200
2026-06-13T14:19:53+03:00,15.7796,200
2026-06-13T14:20:38+03:00,15.7796,200
2026-06-13T14:21:20+03:00,15.7796,200
2026-06-13T14:22:03+03:00,15.7796,200
2026-06-13T14:22:47+03:00,15.7796,200
2026-06-13T14:23:32+03:00,15.7796,200
2026-06-13T14:24:16+03:00,0.96,200
2026-06-13T14:24:59+03:00,0.96,200
2026-06-13T14:25:43+03:00,0.96,200
2026-06-13T14:26:28+03:00,0.96,200
2026-06-13T14:27:10+03:00,0.96,200
2026-06-13T14:27:55+03:00,0.96,200
2026-06-13T14:28:39+03:00,0.96,200
2026-06-13T14:29:23+03:00,40.651,200
2026-06-13T14:30:07+03:00,40.651,200
2026-06-13T14:30:51+03:00,40.651,200
2026-06-13T14:31:37+03:00,40.651,200
2026-06-13T14:32:21+03:00,40.651,200
2026-06-13T14:33:06+03:00,40.651,200
2026-06-13T14:33:48+03:00,40.651,200
2026-06-13T14:34:32+03:00,40.651,200
2026-06-13T14:35:20+03:00,67.3068,200
2026-06-13T14:36:10+03:00,67.3068,200
2026-06-13T14:36:53+03:00,67.3068,200
2026-06-13T14:37:36+03:00,67.3068,200
2026-06-13T14:38:25+03:00,67.3068,200
2026-06-13T14:39:09+03:00,67.3068,200
2026-06-13T14:39:55+03:00,67.3068,200
2026-06-13T14:40:43+03:00,1.5393,200
2026-06-13T14:41:31+03:00,1.5393,200
2026-06-13T14:42:15+03:00,1.5393,200
2026-06-13T14:43:00+03:00,1.5393,200
2026-06-13T14:43:43+03:00,1.5393,200
2026-06-13T14:44:26+03:00,1.5393,200
2026-06-13T14:45:15+03:00,1.5393,200
2026-06-13T14:45:59+03:00,50.6184,200
2026-06-13T14:46:43+03:00,50.6184,200
2026-06-13T14:47:26+03:00,50.6184,200
2026-06-13T14:48:11+03:00,50.6184,200
2026-06-13T14:48:53+03:00,50.6184,200
2026-06-13T14:49:41+03:00,50.6184,200
2026-06-13T14:50:24+03:00,50.6184,200
2026-06-13T14:51:11+03:00,50.6184,200
2026-06-13T14:51:54+03:00,3.3481,200
2026-06-13T14:52:37+03:00,3.3481,200
2026-06-13T14:53:21+03:00,3.3481,200
2026-06-13T14:54:05+03:00,3.3481,200
2026-06-13T14:54:50+03:00,3.3481,200
2026-06-13T14:55:35+03:00,3.3481,200
2026-06-13T14:56:18+03:00,3.3481,200
2026-06-13T14:57:04+03:00,50.0315,200
2026-06-13T14:57:49+03:00,50.0315,200
2026-06-13T14:58:33+03:00,50.0315,200
2026-06-13T14:59:15+03:00,50.0315,200
2026-06-13T14:59:58+03:00,50.0315,200
2026-06-13T15:00:46+03:00,50.0315,200
2026-06-13T15:01:33+03:00,50.0315,200
2026-06-13T15:02:20+03:00,50.0315,200
2026-06-13T15:03:04+03:00,6.671,200
2026-06-13T15:03:50+03:00,6.671,200
2026-06-13T15:04:39+03:00,6.671,200
2026-06-13T15:05:23+03:00,6.671,200
2026-06-13T15:06:11+03:00,6.671,200
2026-06-13T15:07:00+03:00,6.671,200
2026-06-13T15:07:43+03:00,6.671,200
2026-06-13T15:08:28+03:00,7.465,200
2026-06-13T15:09:16+03:00,7.465,200
2026-06-13T15:10:01+03:00,7.465,200
2026-06-13T15:10:45+03:00,7.465,200
2026-06-13T15:11:30+03:00,7.465,200
2026-06-13T15:12:14+03:00,7.465,200
2026-06-13T15:12:59+03:00,7.465,200
2026-06-13T15:13:44+03:00,7.465,200
2026-06-13T15:14:28+03:00,6.9547,200
2026-06-13T15:15:12+03:00,6.9547,200
2026-06-13T15:15:56+03:00,6.9547,200
