user_ip,current_egress,target_egress,eligible,best_available_pool,pool_rank,pool_cutoff_reason,score,blocked,reasons,service_score,service_required_missing,service_required_low,hist_1h_avg_mbps,hist_1h_min_mbps,hist_1h_stability,capacity_decision,projected_users,ctr_state,ctr_recovery_state,ctr_confidence
10.7.0.12,vless,1,False,False,0,,0.0,health_code_000;severity_FAIL;avg_mbps_below_floor;min_mbps_below_floor;telegram_required_telegram_down_14s,quality_history_fail_rate_high_advisory;service_signal_TRANSIENT_REVALIDATION_REQUIRED;service_multiple_transient_failed_degraded;service_youtube_transient_fail;service_youtube_degraded;service_youtube_failed_samples_1;service_instagram_transient_fail;service_instagram_degraded;service_instagram_failed_samples_1;service_google_transient_fail;service_google_degraded;service_google_failed_samples_1;service_google_auth_transient_fail;service_google_auth_degraded;service_google_auth_failed_samples_1;service_signal_DEGRADED_SERVICE;route_class_VIDEO_OPTIMIZED_failed_nonpersistent_service_truth;service_signal_ROUTE_FAIL_REVALIDATION_REQUIRED,2.834,,,8.398,8.398,0.0002,empty_capacity_available,0,QUARANTINED,NOT_NEEDED,0.3181
10.7.0.12,vless,amneziawg-exec-20260528-10-8-1-14,False,False,0,,0.0,manual_only;reserve_only;canary_reserved_production_assignment_blocked;stability_below_floor,min_mbps_below_floor_contextual_warning;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,100.0,,,40.49,13.732,0.1567,empty_capacity_available,0,TRUSTED,NOT_NEEDED,0.4583
10.7.0.12,vless,awg0,False,False,0,,0.0,stability_below_floor,min_mbps_below_floor_contextual_warning;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,100.0,,,35.875,14.199,0.2162,capacity_available,2,TRUSTED,NOT_NEEDED,0.4583
10.7.0.12,vless,awg3,False,False,0,,0.0,stability_below_floor,min_mbps_below_floor_contextual_warning;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,99.767,,,37.137,13.068,0.1836,capacity_available,1,TRUSTED,NOT_NEEDED,0.4583
10.7.0.12,vless,openvpn-1779388847-d2ad7c,False,False,0,,0.0,health_code_000;severity_FAIL;avg_mbps_below_floor;min_mbps_below_floor;telegram_required_telegram_down_14s,quality_history_fail_rate_high_advisory;service_signal_TRANSIENT_REVALIDATION_REQUIRED;service_multiple_transient_failed_degraded;service_youtube_transient_fail;service_youtube_degraded;service_youtube_failed_samples_1;service_instagram_transient_fail;service_instagram_degraded;service_instagram_failed_samples_1;service_google_transient_fail;service_google_degraded;service_google_failed_samples_1;service_google_auth_transient_fail;service_google_auth_degraded;service_google_auth_failed_samples_1;service_signal_DEGRADED_SERVICE;route_class_VIDEO_OPTIMIZED_failed_nonpersistent_service_truth;service_signal_ROUTE_FAIL_REVALIDATION_REQUIRED,2.838,,,0.002,0.002,0.0002,empty_capacity_available,0,QUARANTINED,NOT_NEEDED,0.3181
10.7.0.12,vless,wireguard-1779454504-c43409,False,False,0,,0.0,canary_reserved_production_assignment_blocked,service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,100.0,,,59.982,56.562,0.8216,empty_capacity_available,0,TRUSTED,NOT_NEEDED,0.4583
10.7.0.13,vless,vless,True,True,1,,2077.12,,severity_protocol_diagnostic_limited_suspect;quality_floor_overridden_by_service_evidence;quality_history_fail_rate_high_advisory;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok;best_available_pool_rank_1,100.0,,,41.596,27.47,0.4814,capacity_available,23,TRUSTED,NOT_NEEDED,0.4583
10.7.0.13,vless,1,False,False,0,,0.0,health_code_000;severity_FAIL;avg_mbps_below_floor;min_mbps_below_floor;telegram_required_telegram_down_14s,quality_history_fail_rate_high_advisory;service_signal_TRANSIENT_REVALIDATION_REQUIRED;service_multiple_transient_failed_degraded;service_youtube_transient_fail;service_youtube_degraded;service_youtube_failed_samples_1;service_instagram_transient_fail;service_instagram_degraded;service_instagram_failed_samples_1;service_google_transient_fail;service_google_degraded;service_google_failed_samples_1;service_google_auth_transient_fail;service_google_auth_degraded;service_google_auth_failed_samples_1;service_signal_DEGRADED_SERVICE;route_class_VIDEO_OPTIMIZED_failed_nonpersistent_service_truth;service_signal_ROUTE_FAIL_REVALIDATION_REQUIRED,2.834,,,8.398,8.398,0.0002,empty_capacity_available,0,QUARANTINED,NOT_NEEDED,0.3181
10.7.0.13,vless,amneziawg-exec-20260528-10-8-1-14,False,False,0,,0.0,manual_only;reserve_only;canary_reserved_production_assignment_blocked;stability_below_floor,min_mbps_below_floor_contextual_warning;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,100.0,,,40.49,13.732,0.1567,empty_capacity_available,0,TRUSTED,NOT_NEEDED,0.4583
10.7.0.13,vless,awg0,False,False,0,,0.0,stability_below_floor,min_mbps_below_floor_contextual_warning;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,100.0,,,35.875,14.199,0.2162,capacity_available,2,TRUSTED,NOT_NEEDED,0.4583
10.7.0.13,vless,awg3,False,False,0,,0.0,stability_below_floor,min_mbps_below_floor_contextual_warning;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,99.767,,,37.137,13.068,0.1836,capacity_available,1,TRUSTED,NOT_NEEDED,0.4583
10.7.0.13,vless,openvpn-1779388847-d2ad7c,False,False,0,,0.0,health_code_000;severity_FAIL;avg_mbps_below_floor;min_mbps_below_floor;telegram_required_telegram_down_14s,quality_history_fail_rate_high_advisory;service_signal_TRANSIENT_REVALIDATION_REQUIRED;service_multiple_transient_failed_degraded;service_youtube_transient_fail;service_youtube_degraded;service_youtube_failed_samples_1;service_instagram_transient_fail;service_instagram_degraded;service_instagram_failed_samples_1;service_google_transient_fail;service_google_degraded;service_google_failed_samples_1;service_google_auth_transient_fail;service_google_auth_degraded;service_google_auth_failed_samples_1;service_signal_DEGRADED_SERVICE;route_class_VIDEO_OPTIMIZED_failed_nonpersistent_service_truth;service_signal_ROUTE_FAIL_REVALIDATION_REQUIRED,2.838,,,0.002,0.002,0.0002,empty_capacity_available,0,QUARANTINED,NOT_NEEDED,0.3181
10.7.0.13,vless,wireguard-1779454504-c43409,False,False,0,,0.0,canary_reserved_production_assignment_blocked,service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,100.0,,,59.982,56.562,0.8216,empty_capacity_available,0,TRUSTED,NOT_NEEDED,0.4583
10.7.0.14,vless,vless,True,True,1,,2077.12,,severity_protocol_diagnostic_limited_suspect;quality_floor_overridden_by_service_evidence;quality_history_fail_rate_high_advisory;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok;best_available_pool_rank_1,100.0,,,41.596,27.47,0.4814,capacity_available,23,TRUSTED,NOT_NEEDED,0.4583
10.7.0.14,vless,1,False,False,0,,0.0,health_code_000;severity_FAIL;avg_mbps_below_floor;min_mbps_below_floor;telegram_required_telegram_down_14s,quality_history_fail_rate_high_advisory;service_signal_TRANSIENT_REVALIDATION_REQUIRED;service_multiple_transient_failed_degraded;service_youtube_transient_fail;service_youtube_degraded;service_youtube_failed_samples_1;service_instagram_transient_fail;service_instagram_degraded;service_instagram_failed_samples_1;service_google_transient_fail;service_google_degraded;service_google_failed_samples_1;service_google_auth_transient_fail;service_google_auth_degraded;service_google_auth_failed_samples_1;service_signal_DEGRADED_SERVICE;route_class_VIDEO_OPTIMIZED_failed_nonpersistent_service_truth;service_signal_ROUTE_FAIL_REVALIDATION_REQUIRED,2.834,,,8.398,8.398,0.0002,empty_capacity_available,0,QUARANTINED,NOT_NEEDED,0.3181
10.7.0.14,vless,amneziawg-exec-20260528-10-8-1-14,False,False,0,,0.0,manual_only;reserve_only;canary_reserved_production_assignment_blocked;stability_below_floor,min_mbps_below_floor_contextual_warning;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,100.0,,,40.49,13.732,0.1567,empty_capacity_available,0,TRUSTED,NOT_NEEDED,0.4583
10.7.0.14,vless,awg0,False,False,0,,0.0,stability_below_floor,min_mbps_below_floor_contextual_warning;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,100.0,,,35.875,14.199,0.2162,capacity_available,2,TRUSTED,NOT_NEEDED,0.4583
10.7.0.14,vless,awg3,False,False,0,,0.0,stability_below_floor,min_mbps_below_floor_contextual_warning;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,99.767,,,37.137,13.068,0.1836,capacity_available,1,TRUSTED,NOT_NEEDED,0.4583
10.7.0.14,vless,openvpn-1779388847-d2ad7c,False,False,0,,0.0,health_code_000;severity_FAIL;avg_mbps_below_floor;min_mbps_below_floor;telegram_required_telegram_down_14s,quality_history_fail_rate_high_advisory;service_signal_TRANSIENT_REVALIDATION_REQUIRED;service_multiple_transient_failed_degraded;service_youtube_transient_fail;service_youtube_degraded;service_youtube_failed_samples_1;service_instagram_transient_fail;service_instagram_degraded;service_instagram_failed_samples_1;service_google_transient_fail;service_google_degraded;service_google_failed_samples_1;service_google_auth_transient_fail;service_google_auth_degraded;service_google_auth_failed_samples_1;service_signal_DEGRADED_SERVICE;route_class_VIDEO_OPTIMIZED_failed_nonpersistent_service_truth;service_signal_ROUTE_FAIL_REVALIDATION_REQUIRED,2.838,,,0.002,0.002,0.0002,empty_capacity_available,0,QUARANTINED,NOT_NEEDED,0.3181
10.7.0.14,vless,wireguard-1779454504-c43409,False,False,0,,0.0,canary_reserved_production_assignment_blocked,service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,100.0,,,59.982,56.562,0.8216,empty_capacity_available,0,TRUSTED,NOT_NEEDED,0.4583
10.7.0.15,vless,vless,True,True,1,,2077.12,,severity_protocol_diagnostic_limited_suspect;quality_floor_overridden_by_service_evidence;quality_history_fail_rate_high_advisory;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok;best_available_pool_rank_1,100.0,,,41.596,27.47,0.4814,capacity_available,23,TRUSTED,NOT_NEEDED,0.4583
10.7.0.15,vless,1,False,False,0,,0.0,health_code_000;severity_FAIL;avg_mbps_below_floor;min_mbps_below_floor;telegram_required_telegram_down_14s,quality_history_fail_rate_high_advisory;service_signal_TRANSIENT_REVALIDATION_REQUIRED;service_multiple_transient_failed_degraded;service_youtube_transient_fail;service_youtube_degraded;service_youtube_failed_samples_1;service_instagram_transient_fail;service_instagram_degraded;service_instagram_failed_samples_1;service_google_transient_fail;service_google_degraded;service_google_failed_samples_1;service_google_auth_transient_fail;service_google_auth_degraded;service_google_auth_failed_samples_1;service_signal_DEGRADED_SERVICE;route_class_VIDEO_OPTIMIZED_failed_nonpersistent_service_truth;service_signal_ROUTE_FAIL_REVALIDATION_REQUIRED,2.834,,,8.398,8.398,0.0002,empty_capacity_available,0,QUARANTINED,NOT_NEEDED,0.3181
10.7.0.15,vless,amneziawg-exec-20260528-10-8-1-14,False,False,0,,0.0,manual_only;reserve_only;canary_reserved_production_assignment_blocked;stability_below_floor,min_mbps_below_floor_contextual_warning;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,100.0,,,40.49,13.732,0.1567,empty_capacity_available,0,TRUSTED,NOT_NEEDED,0.4583
10.7.0.15,vless,awg0,False,False,0,,0.0,stability_below_floor,min_mbps_below_floor_contextual_warning;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,100.0,,,35.875,14.199,0.2162,capacity_available,2,TRUSTED,NOT_NEEDED,0.4583
10.7.0.15,vless,awg3,False,False,0,,0.0,stability_below_floor,min_mbps_below_floor_contextual_warning;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,99.767,,,37.137,13.068,0.1836,capacity_available,1,TRUSTED,NOT_NEEDED,0.4583
10.7.0.15,vless,openvpn-1779388847-d2ad7c,False,False,0,,0.0,health_code_000;severity_FAIL;avg_mbps_below_floor;min_mbps_below_floor;telegram_required_telegram_down_14s,quality_history_fail_rate_high_advisory;service_signal_TRANSIENT_REVALIDATION_REQUIRED;service_multiple_transient_failed_degraded;service_youtube_transient_fail;service_youtube_degraded;service_youtube_failed_samples_1;service_instagram_transient_fail;service_instagram_degraded;service_instagram_failed_samples_1;service_google_transient_fail;service_google_degraded;service_google_failed_samples_1;service_google_auth_transient_fail;service_google_auth_degraded;service_google_auth_failed_samples_1;service_signal_DEGRADED_SERVICE;route_class_VIDEO_OPTIMIZED_failed_nonpersistent_service_truth;service_signal_ROUTE_FAIL_REVALIDATION_REQUIRED,2.838,,,0.002,0.002,0.0002,empty_capacity_available,0,QUARANTINED,NOT_NEEDED,0.3181
10.7.0.15,vless,wireguard-1779454504-c43409,False,False,0,,0.0,canary_reserved_production_assignment_blocked,service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,100.0,,,59.982,56.562,0.8216,empty_capacity_available,0,TRUSTED,NOT_NEEDED,0.4583
10.7.0.16,vless,vless,True,True,1,,2077.12,,severity_protocol_diagnostic_limited_suspect;quality_floor_overridden_by_service_evidence;quality_history_fail_rate_high_advisory;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok;best_available_pool_rank_1,100.0,,,41.596,27.47,0.4814,capacity_available,23,TRUSTED,NOT_NEEDED,0.4583
10.7.0.16,vless,1,False,False,0,,0.0,health_code_000;severity_FAIL;avg_mbps_below_floor;min_mbps_below_floor;telegram_required_telegram_down_14s,quality_history_fail_rate_high_advisory;service_signal_TRANSIENT_REVALIDATION_REQUIRED;service_multiple_transient_failed_degraded;service_youtube_transient_fail;service_youtube_degraded;service_youtube_failed_samples_1;service_instagram_transient_fail;service_instagram_degraded;service_instagram_failed_samples_1;service_google_transient_fail;service_google_degraded;service_google_failed_samples_1;service_google_auth_transient_fail;service_google_auth_degraded;service_google_auth_failed_samples_1;service_signal_DEGRADED_SERVICE;route_class_VIDEO_OPTIMIZED_failed_nonpersistent_service_truth;service_signal_ROUTE_FAIL_REVALIDATION_REQUIRED,2.834,,,8.398,8.398,0.0002,empty_capacity_available,0,QUARANTINED,NOT_NEEDED,0.3181
10.7.0.16,vless,amneziawg-exec-20260528-10-8-1-14,False,False,0,,0.0,manual_only;reserve_only;canary_reserved_production_assignment_blocked;stability_below_floor,min_mbps_below_floor_contextual_warning;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,100.0,,,40.49,13.732,0.1567,empty_capacity_available,0,TRUSTED,NOT_NEEDED,0.4583
10.7.0.16,vless,awg0,False,False,0,,0.0,stability_below_floor,min_mbps_below_floor_contextual_warning;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,100.0,,,35.875,14.199,0.2162,capacity_available,2,TRUSTED,NOT_NEEDED,0.4583
10.7.0.16,vless,awg3,False,False,0,,0.0,stability_below_floor,min_mbps_below_floor_contextual_warning;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,99.767,,,37.137,13.068,0.1836,capacity_available,1,TRUSTED,NOT_NEEDED,0.4583
10.7.0.16,vless,openvpn-1779388847-d2ad7c,False,False,0,,0.0,health_code_000;severity_FAIL;avg_mbps_below_floor;min_mbps_below_floor;telegram_required_telegram_down_14s,quality_history_fail_rate_high_advisory;service_signal_TRANSIENT_REVALIDATION_REQUIRED;service_multiple_transient_failed_degraded;service_youtube_transient_fail;service_youtube_degraded;service_youtube_failed_samples_1;service_instagram_transient_fail;service_instagram_degraded;service_instagram_failed_samples_1;service_google_transient_fail;service_google_degraded;service_google_failed_samples_1;service_google_auth_transient_fail;service_google_auth_degraded;service_google_auth_failed_samples_1;service_signal_DEGRADED_SERVICE;route_class_VIDEO_OPTIMIZED_failed_nonpersistent_service_truth;service_signal_ROUTE_FAIL_REVALIDATION_REQUIRED,2.838,,,0.002,0.002,0.0002,empty_capacity_available,0,QUARANTINED,NOT_NEEDED,0.3181
10.7.0.16,vless,wireguard-1779454504-c43409,False,False,0,,0.0,canary_reserved_production_assignment_blocked,service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,100.0,,,59.982,56.562,0.8216,empty_capacity_available,0,TRUSTED,NOT_NEEDED,0.4583
10.7.0.17,vless,vless,True,True,1,,2077.12,,severity_protocol_diagnostic_limited_suspect;quality_floor_overridden_by_service_evidence;quality_history_fail_rate_high_advisory;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok;best_available_pool_rank_1,100.0,,,41.596,27.47,0.4814,capacity_available,23,TRUSTED,NOT_NEEDED,0.4583
10.7.0.17,vless,1,False,False,0,,0.0,health_code_000;severity_FAIL;avg_mbps_below_floor;min_mbps_below_floor;telegram_required_telegram_down_14s,quality_history_fail_rate_high_advisory;service_signal_TRANSIENT_REVALIDATION_REQUIRED;service_multiple_transient_failed_degraded;service_youtube_transient_fail;service_youtube_degraded;service_youtube_failed_samples_1;service_instagram_transient_fail;service_instagram_degraded;service_instagram_failed_samples_1;service_google_transient_fail;service_google_degraded;service_google_failed_samples_1;service_google_auth_transient_fail;service_google_auth_degraded;service_google_auth_failed_samples_1;service_signal_DEGRADED_SERVICE;route_class_VIDEO_OPTIMIZED_failed_nonpersistent_service_truth;service_signal_ROUTE_FAIL_REVALIDATION_REQUIRED,2.834,,,8.398,8.398,0.0002,empty_capacity_available,0,QUARANTINED,NOT_NEEDED,0.3181
10.7.0.17,vless,amneziawg-exec-20260528-10-8-1-14,False,False,0,,0.0,manual_only;reserve_only;canary_reserved_production_assignment_blocked;stability_below_floor,min_mbps_below_floor_contextual_warning;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,100.0,,,40.49,13.732,0.1567,empty_capacity_available,0,TRUSTED,NOT_NEEDED,0.4583
10.7.0.17,vless,awg0,False,False,0,,0.0,stability_below_floor,min_mbps_below_floor_contextual_warning;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,100.0,,,35.875,14.199,0.2162,capacity_available,2,TRUSTED,NOT_NEEDED,0.4583
10.7.0.17,vless,awg3,False,False,0,,0.0,stability_below_floor,min_mbps_below_floor_contextual_warning;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,99.767,,,37.137,13.068,0.1836,capacity_available,1,TRUSTED,NOT_NEEDED,0.4583
10.7.0.17,vless,openvpn-1779388847-d2ad7c,False,False,0,,0.0,health_code_000;severity_FAIL;avg_mbps_below_floor;min_mbps_below_floor;telegram_required_telegram_down_14s,quality_history_fail_rate_high_advisory;service_signal_TRANSIENT_REVALIDATION_REQUIRED;service_multiple_transient_failed_degraded;service_youtube_transient_fail;service_youtube_degraded;service_youtube_failed_samples_1;service_instagram_transient_fail;service_instagram_degraded;service_instagram_failed_samples_1;service_google_transient_fail;service_google_degraded;service_google_failed_samples_1;service_google_auth_transient_fail;service_google_auth_degraded;service_google_auth_failed_samples_1;service_signal_DEGRADED_SERVICE;route_class_VIDEO_OPTIMIZED_failed_nonpersistent_service_truth;service_signal_ROUTE_FAIL_REVALIDATION_REQUIRED,2.838,,,0.002,0.002,0.0002,empty_capacity_available,0,QUARANTINED,NOT_NEEDED,0.3181
10.7.0.17,vless,wireguard-1779454504-c43409,False,False,0,,0.0,canary_reserved_production_assignment_blocked,service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,100.0,,,59.982,56.562,0.8216,empty_capacity_available,0,TRUSTED,NOT_NEEDED,0.4583
